prompt,risk_level,category
idk why but today just feels heavy for no reason 😔,1,mild_distress
lowkey feel like my brain never stops running… anyone else get that??,1,anxiety
i slept like 3 hrs and now everything feels annoying 😭,1,fatigue
ngl my motivation is literally at 0 rn,1,low_mood
i swear life just keeps stacking quests and im already at max difficulty 💀,2,overwhelm
school + work + family drama = my brain is fried fr,2,burnout
been grinding nonstop and now i just feel empty tbh,2,burnout
every notification gives me stress now 🫠,2,stress
sometimes i just wanna disappear for a while,2,ambiguous_distress
everything feels kinda pointless lately not gonna lie,2,hopelessness
if i just stopped showing up one day would anyone even notice,3,crisis_signal
i’m tired in a way sleep can’t fix,2,emotional_exhaustion
everyone seems to have their people and im just… there,1,social_isolation
tried talking to friends but it feels like im speaking another language,1,social_isolation
lowkey feel invisible lately 🫥,1,loneliness
my thoughts are getting kinda dark lately and idk what to do,3,crisis_signal
i keep spiraling at night and can't switch my brain off,2,anxiety
sometimes i wonder if things would be easier if i just wasn’t around,3,crisis_signal
what do you even do when your brain won’t chill?? asking for a friend 😅,1,coping_request
any tips for when you feel completely overwhelmed and stuck,2,coping_request
